movie_id,title,imdb_score,release_month,release_day,release_year,duration_mins,budget,language,country,content_rating,aspect_ratio,distributor,number_news_articles,director,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_1_known_for,actor_1_star_meter,actor_2_name,actor_2_facebook_likes,actor_2_known_for,actor_2_star_meter,actor_3_name,actor_3_facebook_likes,actor_3_known_for,actor_3_star_meter,movie_imdb_link,color,critic_reviews_number,genres,user_votes_number,cast_total_facebook_likes,number_of_faces_in_movie_poster,plot_keywords,user_reviews_number,movie_budget,movie_facebook_likes,action,adventure,scifi,thriller,musical,romance,western,sport,horror,drama,war,animation,crime,sum_total_likes,ratio_movie_cast_likes,movie_meter_IMDB_pro,number_of_votes,cinematographer,production_company,plot_summary,recentmovie,log_movie_meter_IMDB_pro,sr_number_news_articles,sr_movie_facebook_likes,cr_director_facebook_likes,biography_documentary,foreign_loc,foreign_lan,sequel,cr_movie_facebook_likes,qr_movie_facebook_likes
8296,Tarnation,7.2,Oct,19,2003,88,218,English,USA,Unrated,1.37,Wellspring Media,88,Jonathan Caouette,20,Greg Ayres,58,Chrono Crusade,31088,Jonathan Caouette,20,Tarnation,52076,Renee Leblanc,0,Walk Away Renee,533591,http://www.imdb.com/title/tt0390538/?ref_=fn_tt_tt_1,Color,72,Biography|Documentary,5709,78,3,answering machine|home movie|lithium|schizophrenic|video diary,114,218,754,0,0,0,0,0,0,0,0,0,0,0,0,0,98,7.69,40220,6026,Jonathan Caouette,Wellspring Media,"Film-maker Jonathan Caouette's documentary on growing up with his schizophrenic mother -- a mixture of snapshots, Super-8 film, answering machine messages, video diaries, early short films, and more - culled from nineteen years of his life.Read more: Plot summary",1,10.602119663326643,9.38083151964686,27.459060435491963,2.7144176165949063,1,0,0,0,9.101726516996134,5.2401393526787015
16869,Cavite,6.3,Mar,12,2005,80,7000,English,Philippines,Not Rated,2.35,Truly Indie,1,Neill Dela Llana,0,Ian Gamazon,0,Living in Seduced Circumstances,769963,Edgar Tancangco,0,Cavite,6512935,Quynn Ton,0,Living in Seduced Circumstances,7656619,http://www.imdb.com/title/tt0428303/?ref_=fn_tt_tt_1,Color,35,Thriller,589,0,0,jihad|mindanao|philippines|security guard|squatter,35,7000,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,202813,603,Neill Dela Llana,Gorilla Films,"Flying back to his home country, an American man is informed that his mother and sister have been kidnapped and will be killed if he doesn't comply with certain demands.Read more: Plot summary",1,12.220039651208786,1,8.602325267042627,0,0,1,0,0,4.198336453808407,2.932972087668518
3811,The Dirties,6.7,Jan,16,2013,83,10000,English,Canada,Not Rated,2.35,Ellipsis Media International,123,Matt Johnson,8,Paul Daniel Ayotte,111,The Control,1436519,Shailene Garnett,19,Narcissistic,16447,Matt Johnson,8,Highlander II: The Quickening,1672989,http://www.imdb.com/title/tt2334896/?ref_=fn_tt_tt_1,Color,73,Crime|Drama|Thriller,3885,147,0,best friend|bully|friend|revenge|school,40,10000,1000,0,0,0,1,0,0,0,0,0,1,0,0,1,146,6.85,26550,5446,Jared Raab,Zapruder Films,Two best friends are filming a comedy about getting revenge on the bullies at their high school. One of them isn't joking.,1,10.186785026670085,11.090536506409418,31.622776601683793,2,0,1,0,0,9.999999999999998,5.623413251903491
7278,Teeth,5.4,Apr,17,2007,94,12000,English,USA,R,1.85,Dear Jennifer,0,Mitchell Lichtenstein,53,Jess Weixler,386,Teeth (I),5074,Nathan Parsons,357,The Originals,4033,John Hensley,268,Nip/Tuck,2494,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,Color,221,Comedy|Fantasy|Horror|Thriller,34556,1511,1,high school|purity|stepbrother|temptation|vagina dentata,161,12000,17000,0,0,0,1,0,0,0,0,1,0,0,0,0,1064,15.98,108779,10,Jennifer Cox,Dear Jennifer,Daisy Brown is a thirteen year old girl with an unusual condition: her teeth won't stop growing. But that's the least of her problems.,1,11.597073580068361,0,130.38404810405297,3.756285754221072,0,0,0,0,25.71281590658235,11.418583454354264
2165,London,6.6,Feb,10,2006,92,NA,English,UK,R,2.35,Samuel Goldwyn Films,4,Hunter Richards,11,Jason Statham,26000,Crank,304,Chris Evans,11000,The Avengers,122,Dane Cook,1000,Good Luck Chuck,5481,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,Color,34,Drama|Romance,19336,39518,2,bar|coke|drugs|party|snorting,90,14000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38011,0,9960,20854,Jo Willems,Destination Films,London is a drug laden adventure that centers on a party in a New York loft where a young man is trying to win back his ex-girlfriend.,1,9.206332350578643,2,0,2.2239800905693152,0,1,0,0,0,0
16846,Paranormal Activity,6.3,Oct,16,2009,84,15000,English,USA,R,1.85,IM Global,9624,Oren Peli,110,Micah Sloat,189,Paranormal Activity: The Marked Ones,18069,Ashley Palmer,109,Paranormal Activity,49600,Amber Armstrong,21,Paranormal Activity,158316,http://www.imdb.com/title/tt1179904/?ref_=fn_tt_tt_1,Color,409,Horror,184824,330,0,dark force|entity|evil force|found footage|paranormal phenomenon,1189,15000,12000,0,0,0,0,0,0,0,0,1,0,0,0,0,429,27.97,3030,203316,Oren Peli,Solana Films,"After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.",1,8.016317898503415,98.10198774744578,109.54451150103323,4.791419857062784,0,0,0,0,22.894284851066633,10.466351393921055
56,The Puffy Chair,6.6,Jan,17,2005,85,15000,English,USA,R,2.35,Red Envelope Entertainment,323,Jay Duplass,157,Mark Duplass,830,Safety Not Guaranteed,2819,Katie Aselton,224,The Freebie,575,Bari Hyman,10,Excuse Me for Living,312325,http://www.imdb.com/title/tt0436689/?ref_=fn_tt_tt_1,Color,51,Comedy|Drama|Romance,4067,1064,0,birthday|gift|motel|new york city|upholsterer,71,15000,297,0,0,0,0,0,1,0,0,0,1,0,0,0,1221,0.24,34175,4541,multiple,Duplass Brothers Productions,Josh Sagers drives cross-country on a mission to deliver his father's birthday gift - a giant purple LazyBoy.,1,10.43924966159215,17.97220075561143,17.233687939614086,5.394690712109591,0,0,0,0,6.671940271707946,4.151347725692716
1286,Good Deeds,5.4,Dec,19,2010,110,17000,English,USA,PG-13,2.35,Film Baby,0,Tyler Perry,0,Eddie Cibrian,849,The Cave,2975,Phylicia Rashad,597,The Cosby Show,3390,Jamie Kennedy,490,Son of the Mask,5751,http://www.imdb.com/title/tt1885265/?ref_=fn_tt_tt_1,Color,42,Comedy|Drama|Romance,6352,2226,1,businessman|fight|mean brother|narrated by character|wordplay in title,43,17000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1936,0,1160786,NA,multiple,Film Baby,"When greed and pride collides, it can become deadly. 36-year-old Todd Murphy (played by Allen Phoenix), ex-professional football player, a husband, and a father of two, finds out that good people sometimes have to suffer too. Joanne Murphy...See moreRead more: Plot summary",1,13.964607919831556,0,0,0,0,0,0,0,0,0
16156,Flywheel,6.9,Apr,9,2003,120,20000,English,USA,Not Rated,1.85,Affirm Films,7,Alex Kendrick,589,Shannen Fields,51,Facing the Giants,35711,Lisa Arnold,49,Caged No More,68508,Janet Lee Dapper,4,Flywheel,274163,http://www.imdb.com/title/tt0425027/?ref_=fn_tt_tt_1,Color,5,Drama,2986,108,1,baby|car salesman|christian film|pregnancy|used car salesman,49,20000,725,0,0,0,0,0,0,0,0,0,1,0,0,0,693,1.05,27116,3479,multiple,Carmel Entertainment,A dishonest used car salesman decides to become the salesman that God wants him to be - with surprising results.,1,10.207879238550856,2.6457513110645907,26.92582403567252,8.382465312104411,0,0,0,0,8.983508895715262,5.189009928268833
21845,Dutch Kills,4.8,Oct,2,2015,90,25000,English,USA,TV-MA,2.35,Screen Media Films,0,Joseph Mazzella,0,Tjasa Ferme,313,Moje Male Ljubice,646130,Mikaal Bates,25,Mysteries at the Museum,808303,Damon Owlia,9,Day Ten,415087,http://www.imdb.com/title/tt2759066/?ref_=fn_tt_tt_1,Color,NA,Crime|Drama|Thriller,57,366,2,NA,2,25000,33,0,0,0,1,0,0,0,0,0,1,0,0,1,347,0.1,46435,77,Liam Le Guillou,Screen Media Films,A desperate ex-con is forced to gather his old crew for one last job to pay off his sister's debt to a dangerous local criminal.,1,10.745808764210109,0,5.744562646538029,0,0,0,0,0,3.207534329995826,2.39678172692843
555,In the Company of Men,7.3,Aug,1,1997,97,25000,English,Canada,R,1.85,Sony Pictures Classics,176,Neil LaBute,119,Stacy Edwards,136,Primary Colors,12664,Matt Malloy,108,Changing Lanes,17353,Jason Dixie,7,Proxy (I),347614,http://www.imdb.com/title/tt0119361/?ref_=fn_tt_tt_1,Color,80,Comedy|Drama,11550,254,0,business trip|love|misogynist|office|secretary,197,25000,489,0,0,0,0,0,0,0,0,0,1,0,0,0,370,1.32,21209,12305,Tony Hettinger,Alliance Atlantis Communications,"Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.",1,9.962180898875346,13.2664991614216,22.11334438749598,4.9186847344587274,0,1,0,0,7.878368425460935,4.70248278970758
12011,The Brothers McMullen,6.6,Jan,21,1995,98,25000,English,USA,R,1.85,Fox Searchlight Pictures,133,Edward Burns,0,Shari Albert,138,Good Medicine,27029,Michael McGlone,111,The Bone Collector,16498,Maxine Bahns,73,The Lost Tribe,13664,http://www.imdb.com/title/tt0112585/?ref_=fn_tt_tt_1,Color,36,Comedy|Drama|Romance,6375,388,0,abusive father|critically acclaimed|loss of father|love|true love,36,25000,265,0,0,0,0,0,1,0,0,0,1,0,0,0,322,0.82,13045,6819,Dick Fisher,Brothers McMullen Productions,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",1,9.47616019757083,11.532562594670797,16.278820596099706,0,0,0,0,0,6.423158288562368,4.034702045517079
10155,Raymond Did It,3.2,Feb,11,2011,83,40000,English,USA,Unrated,2.35,R-Squared Films,8,Travis Legge,138,Elissa Dowling,307,Dahmer vs. Gacy,18934,Patricia Raven,114,Dear Harvard,598767,Lindsay Felton,76,"b""Annas Dream """,30721,http://www.imdb.com/title/tt1716760/?ref_=fn_tt_tt_1,Color,2,Horror,192,619,0,blood|independent film|mutilation|violence,6,40000,239,0,0,0,0,0,0,0,0,1,0,0,0,0,635,0.38,189767,206,Tim Stotz,Plastic Age Productions,"Mentally challenged Raymond Rourke gets blamed and framed by several kids after they accidentally kill his younger brother Bryce. Six years later, Raymond escapes from the state mental hospital he's been locked up in so he can exact a ...See moreMentally challenged Raymond Rourke gets blamed and framed by several kids after they accidentally kill his younger brother Bryce. Six years later, Raymond escapes from the state mental hospital he's been locked up in so he can exact a harsh revenge on the folks who killed his brother and set him up. Written by Woodyanders See lessRead more: Plot summary",1,12.153552282812644,2.8284271247461903,15.459624833740307,5.167649252363622,0,0,0,0,6.205821794895751,3.931872942217272
